Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Apple iPhone 11 Pro,Apple A13,Hexa-core2.65Â GHz (2x2.65Â GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/256/512 GB,NaN,4 GB,iOS 13,,144 x 71.4 x 8.1Â mm,188,3046 mAh,Lightning 18WWireless,"5.8"" 2436x1125 OLED",Triple 12 MP (rear camera) 12 MP (front camera),NaN,Face ID
Apple iPhone 11 Pro Max,Apple A13,Hexa-core2.65Â GHz (2x2.65Â GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/256/512 GB,NaN,4 GB,iOS 13,,158 x 77.8 x 8.1Â mm,226,3969 mAh,Lightning 18WWireless,"6.5"" 2688x1242 OLED",Triple 12 MP (rear camera) 12 MP (front camera),NaN,Face ID
LG G8 ThinQ,Snapdragon 855,Octa-core 2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0,LG UX,151.9 x 71.8 x 8.4Â mm,167,3500 mAh,USB-C 21W Wireless 9W,"6.1"" 3120x1440 P-OLED",Dual/Triple (market dependent) 12 MP + 16 MP + 12 MP (rear camera) Dual 8 MP + ToF (front camera),Rear-mounted,Yes
LG G8s ThinQ,Snapdragon 855,Octa-core 2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64 or 128 GB,microSD up to 1 TB,6 GB,Android 9.0,LG UX,155.3 x 76.6 x 8Â mm,181,3550 mAh,USB-C 18W Wireless ?W,"6.2"" 2248x1080 OLED",Triple 12 MP + 16 MP + 12 MP (rear camera) Dual 8 MP + ToF (front camera),Rear-mounted,Yes
LG G8x ThinQ,Snapdragon 855,Octa-core 2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0,LG UX,159.3 x 75.8 x 8.4Â mm,192,4000 mAh,USB-C 21W Wireless 9W,"6.4"" 2340x1080 OLED",Dual 12 MP + 13 MP (rear camera) 32 MP (front camera),Under screen,Yes
LG V50 ThinQ,Snapdragon 855,Octa-core 2.84Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0,LG UX,159.2 x 76.1 x 8.3Â mm,183,4000 mAh,USB-C 18W Wireless 10W,"6.4"" 3120x1440 OLED",Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 8 MP + 5 MP (front camera),Rear-mounted,Yes
LG Q70,Snapdragon 675,Octa-core 2.0Â GHz (2x2.0Â GHz Kryo 460 Gold + 6x1.7Â GHz Kryo 460 Silver),AdreNaN 612,64 GB,microSD up to 1 TB,4 GB,Android 9.0,LG UX,162.1 x 76.8 x 8.3Â mm,198,4000 mAh,USB-C 15W,"6.4"" 2310x1080 IPS LCD",Triple 32 MP + 13 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Sharp Aquos Zero,Snapdragon 845,Octa-core2.6Â GHz (4x2.6Â GHz Kryo 385 Gold + 4x1.7Â GHz Kryo 385 Silver),AdreNaN 630,128 GB,NaN,6 GB,Android 9.0,,154 x 73 x 8.8Â mm,146,3130 mAh,USB-C 18W,"6.2"" 2992x1440 OLED",22 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Sony Xperia 1,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,64 or 128 GB,microSD up to 1 TB,6 GB,Android 9.0,,167 x 72 x 8.2Â mm,178,3330 mAh,USB-C 18W,"6.5"" 3840x1644 OLED",Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 5,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x2.42Â GHz + 4x1.8Â GHz Kryo 485),AdreNaN 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0,,158 x 68 x 8.2Â mm,164,3140 mAh,USB-C 18W,"6.1"" 2520x1080 OLED",Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
